id,name,club_id,start_date,url,lat,long,price_1_tab,price_2_tabs,price_3_tabs
0,CHAMPIONNAT DEPARTEMENTAL SENIOR DORDOGNE,1048,16.02.2019,tournoi-badminton/championnat-departemental-senior-dordogne-9380.html,45.1821,0.731014,12,16,18
1,7 ème Tournoi international Les volants de Thau,1487,16.02.2019,tournoi-badminton/7-eme-tournoi-international-les-volants-de-thau-9705.html,43.4207,3.60138,17,20,
2,Le Carhaixmentsique 2019,1077,16.02.2019,tournoi-badminton/le-carhaixmentsique-2019-9750.html,48.2789,-3.54416,12,18,
3,championnat departemental seniors,1054,16.02.2019,tournoi-badminton/championnat-departemental-seniors-9847.html,46.1476,-1.15494,12,15,18
4,6 eme tournoi jeunes et veterans d'arpajon,1805,17.02.2019,tournoi-badminton/6-eme-tournoi-jeunes-et-veterans-d-arpajon-9946.html,44.9429,2.45945,12,17,
5,Championnat Régional Sénior,435,23.02.2019,tournoi-badminton/championnat-regional-senior-9761.html,43.4379,4.94571,18,18,18
6,7ème tournoi de Double de Saint Joseph,289,23.02.2019,tournoi-badminton/7eme-tournoi-de-double-de-saint-joseph-9441.html,45.5548,4.61961,,,
7,Des Plumes et des Elles,1470,23.02.2019,tournoi-badminton/des-plumes-et-des-elles-9892.html,50.2151,1.78079,80,0,0
8,6ème Tournoi Jeunes & Vétérans de Challans,820,23.02.2019,tournoi-badminton/6eme-tournoi-jeunes-amp-veterans-de-challans-9943.html,46.8312,-1.88515,13,18,
9,Codep 84 - TDJ 5ème étape - Apt,992,24.02.2019,tournoi-badminton/codep-84-tdj-5eme-etape-apt-9473.html,43.8723,5.39907,10,,
10,GP de mixte de Martigues,541,24.02.2019,tournoi-badminton/gp-de-mixte-de-martigues-9557.html,43.4178,5.03379,9,,
11,3eme EcoPlumes d'Ingré,135,02.03.2019,tournoi-badminton/3eme-ecoplumes-d-ingre-9324.html,47.9213,1.8347,12,17,
12,BONDY,1693,02.03.2019,tournoi-badminton/bondy-9749.html,48.9234,2.53525,15,20,
13,Tournoi des Ailes,2015,02.03.2019,tournoi-badminton/tournoi-des-ailes-9950.html,43.4116,5.23832,,,
14,Aubad 12,1809,02.03.2019,tournoi-badminton/aubad-12-9811.html,47.3507,6.35479,14,20,
15,Mirande Badminton Club,511,02.03.2019,tournoi-badminton/mirande-badminton-club-9805.html,43.5168,0.403639,14,16,
16,TOURNOI  SIMPLE#2,404,03.03.2019,tournoi-badminton/tournoi-simple-2-9902.html,45.764,4.83566,17,,
17,Tournoi double de la Brie Champenoise,1496,09.03.2019,tournoi-badminton/tournoi-double-de-la-brie-champenoise-9873.html,48.8709,3.55077,15,20,
18,3ème Tournoi de doubles de Sassenage,324,09.03.2019,tournoi-badminton/3eme-tournoi-de-doubles-de-sassenage-9813.html,45.2051,5.669,,,
19,Tournoi de L'ESA,838,09.03.2019,tournoi-badminton/tournoi-de-l-esa-9855.html,47.493,2.43844,16,20,
20,2e EDITION SIMPLES DE LA VILLE DE VENISSIEUX,1188,09.03.2019,tournoi-badminton/2e-edition-simples-de-la-ville-de-venissieux-9455.html,45.6962,4.88142,18,,
21,3ème Tournoi National de Double de Mallemort,1491,09.03.2019,tournoi-badminton/3eme-tournoi-national-de-double-de-mallemort-9624.html,43.7256,5.17971,18,20,
22,8ème tournoi National de l'AME,116,09.03.2019,tournoi-badminton/8eme-tournoi-national-de-l-ame-9885.html,48.0023,2.71551,,,
23,"L""ALBERTINE",2013,09.03.2019,tournoi-badminton/l-albertine-9555.html,50.0005,2.65578,15,18,
24,Tournoi Séniors de Brive,1728,09.03.2019,tournoi-badminton/tournoi-seniors-de-brive-9356.html,45.1514,1.50984,,,
25,tournoi jeunes du CD 17,1054,09.03.2019,tournoi-badminton/tournoi-jeunes-du-cd-17-9848.html,46.1602,-1.14715,10,15,
26,Codep 84 - CDS 4ème étape - Morières,992,10.03.2019,tournoi-badminton/codep-84-cds-4eme-etape-morieres-9480.html,43.939,4.91007,10,,
27,14e tournoi du BAmdonton Club Villeneuvien,1350,16.03.2019,tournoi-badminton/14e-tournoi-du-bamdonton-club-villeneuvien-9782.html,48.083,3.30179,16,20,
28,La LICORNE 2,1409,16.03.2019,tournoi-badminton/la-licorne-2-9540.html,43.2658,3.2869,15,17,
29,5 Badminton Open Sisteronais,1400,16.03.2019,tournoi-badminton/5-badminton-open-sisteronais-9491.html,44.1936,5.94843,19,19,20
30,TDJ 33 - 4ème journée,1040,17.03.2019,tournoi-badminton/tdj-33-4eme-journee-9502.html,44.835,-0.587269,8,,
31,Codep 84 - TDJ 6ème étape - Pertuis,992,17.03.2019,tournoi-badminton/codep-84-tdj-6eme-etape-pertuis-9474.html,43.6943,5.50184,10,,
32,championnat departemental mixte veterans,1054,22.03.2019,tournoi-badminton/championnat-departemental-mixte-veterans-9846.html,45.9443,-0.956499,12,,
33,Saulx Bad So Good 7ième édition,1870,23.03.2019,tournoi-badminton/saulx-bad-so-good-7ieme-edition-9799.html,48.6918,2.2807,14,19,
34,4ème Tournoi Gérald LEVEL,2025,23.03.2019,tournoi-badminton/4eme-tournoi-gerald-level-9391.html,43.8723,5.39907,18,18,
35,Tournoi de Printemps,1568,23.03.2019,tournoi-badminton/tournoi-de-printemps-9596.html,45.3874,4.28035,17,20,
36,5ème tournoi d'A Roca,504,23.03.2019,tournoi-badminton/5eme-tournoi-d-a-roca-9637.html,43.7275,7.4128,15,,
37,Ecoplume,1579,23.03.2019,tournoi-badminton/ecoplume-9665.html,45.1186,3.9063,,,
