id,name,short_name,city_name,lat,long,url
0,Zem'bad Le Montat,ZEMBAD,Le Montat,,,
1,Yvetot Badminton Club,YBC,Yvetot,,,
2,Xtrem Bad Poisy,XBP74,Poisy,,,
3,Wolfi'Bad,WOLFI.BAD,Wolfisheim,,,
4,Wasquehal Badminton Club,WBC,Wasquehal,,,
5,Woincourt Badminton Club,WBC,Woincourt,,,
6,Who's Bad Paris,WB,Paris,,,
7,Who's Bad - Le Badminton Galant,WB,Grand-Bourg,,,
8,Volants Wormhoutois,VW,Wormhout,,,
9,Les Volants de la Vallée de Munster,VVM,Munster,,,
10,Les Volants Du Vuache,VV74,Vulbens,,,
11,Volants Vençois,VV06,Vence,,,
12,VALENCIENNES UNIVERSITÉ CLUB,VUC,Valenciennes,,,
13,Les Volants Tranchais Omnisports Badminton,VTO,La Tranche-sur-Mer,,,
14,Vga Stella Saint Maur,VSSM,Saint-Maur-des-Fossés,,,
15,Volant Saint Martin,VSM,Toulouse,,,
16,Velo Sport Fertois,VSF,La Ferté-Bernard,,,
17,Volant Stéphanois Badminton,VSB,Saint-Etienne-de-Tulmont,,,
18,Val De Sarthe Badminton,VSB,Noyen-sur-Sarthe,,,
19,Villemomble Sports Badminton,VSB,Villemomble,,,
20,Vaillante Sports Angers Badminton,VSABAD,Angers,,,
21,Volant Savenaisien,VS,Savenay,,,
22,Le Volant Sammiellois,VS,Saint-Mihiel,,,
23,Les Volants de Sermaises,VS,Sermaises,,,
24,Volant Cécilien,VS,Sainte-Cécile-les-Vignes,,,
25,Volant Radieux Pinsaguelois,VRP,Pinsaguel,,,
26,Volant Quingeois,VQ,Quingey,,,
27,Le Volant d'Oc Vauréen,VOV,Lavaur,,,
28,Vaillante Omnisport  Saint Brice,VOSB,Saint-Brice-sous-Forêt,,,
29,Volant Opale Club,VOC,Boulogne-sur-Mer,,,
30,Volants Non Identifies,VNI,Tilly-sur-Seulles,,,
31,Le Volant Masque Cloharsien,VMC,Clohars-Carnoët,,,
32,Volant Montois,VM,Saint-Jean-de-Monts,,,
33,Association Volant Libre Salisien,VLS,Salies-de-Béarn,,,
34,Volant Luisant,VL,Luisant,,,
35,Volontaires Janzéens Badminton,VJB35,Janzé,,,
36,Volant Intrepide Saint Pierrin,VIP,Saint-Pierre-de-Lages,,,
37,Vie Locale et Animation Jeunesse Pays de Boussac,VILAJ,Boussac-Bourg,,,
38,Le Volant De L'Isle,VI,Guîtres,,,
39,Le Volant Houdinois,VH,Houdain,,,
40,Les Volants Guido-Fontains,VGF,Fontaine-la-Guyon,,,
41,Vienne Glane Badminton,VGB,Oradour-sur-Glane,,,
42,Le Volant Fou Guipellois,VFG,Guipel,,,
43,Val d'Europe Badminton,VEBAD,Bailly-Romainvilliers,,,
44,Volant Etrellais,VE,Étrelles,,,
45,Volant Des Turlurons,VDT,Billom,,,
46,les Volants Du Rhin,VDR,Drusenheim / Gambsheim,,,
47,Volant de Pontgibaud,VDP,Pontgibaud,,,
48,Le Volant d'Oyeu,VDO38,Oyeu,,,
49,Les Volants de la Presquîle,VDLP,Ambès,,,
50,Les Volants du Kochersberg,VDK,Willgottheim,,,
51,Volant des Isles du Doubs,VDI,Appenans,,,
52,Le Volant Des Domes,VDD,Clermont-Ferrand,,,
53,Les Volants de Bellefontaine,VDB,Bellefontaine,,,
54,Le Volant des Alberes,VDA,Argelès-sur-Mer,,,
55,Volant Club Toulousain,VCT,Toulouse,,,
56,Foyer Rural VC Lavernose-Lacasse,VCLL,Lavernose-Lacasse,,,
57,Vic Comte Badminton,VCB63,Vic-le-Comte,,,
58,Varennes Changy Badminton,VCB,Varennes-Changy,,,
59,Vieux-Condé Badminton,VCB,Vieux-Condé,,,
60,Volant des Costières,VC30,Manduel,,,
61,Very Bad Team,VBT,Sedan,,,
62,Les Volants de la Bretagne Romantique,VBR,Pleugueneuc,,,
63,Vaujours Bad. Club Des Etoiles,VBCE,Vaujours,,,
64,Vincennes Badminton Club,VBC94,Vincennes,,,
65,Versoud Badminton club,VBC38,Le Versoud,,,
66,Voland' Badminton Club,VBC,Landeronde,,,
67,Varennes Badminton Club,VBC,Varennes-sur-Allier,,,
68,Vimy Badminton Club,VBC,Vimy,,,
69,Vimoutiers Badminton Club,VBC,Vimoutiers,,,
70,Vivarais Badminton,VB07,Vals-les-Bains,,,
71,Volant Bisontin,VB,Besançon,,,
72,Vitrolles Badminton,VB,Vitrolles,,,
73,Volant Basseen,VB,La Bassée,,,
74,Verneuil Badminton,VB,Verneuil-sur-Vienne,,,
75,Versailles Badminton,VB,Versailles,,,
76,Le Volant Arnouville Gonesse,VAG,Arnouville,,,
77,Vallée de l'Avre Badminton Club,VABC,Saint-Rémy-sur-Avre,,,
78,Vitry Badminton Club,VABC,Vitry-en-Artois,,,
79,Val D'ambene Badminton,VAB,Volvic,,,
80,Volant des 7 Rivières,V7R,Bédarrides,,,
81,V3F - Volant des 3 Frontières,V3F,"Attenschwiller, Hésingue, Villag",,,
82,Volants 3000,V3000,CHAVAGNES,,,
83,Volants Velizy-villacoublay,V3,Vélizy-Villacoublay,,,
84,Le Volant des 2 Caps,V2C,Marquise,,,
85,U. Sportive Vaires Entretien Compétition Badminton,USVECBAD,Vaires-sur-Marne,,,
86,Union Sport. Villaines La Juhel,USVBAD,Villaines-la-Juhel,,,
87,Vitreenne Badminton,USVB,Vitré,,,
