id,name,club_id,start_date,url,lat,long,price_1_tab,price_2_tabs,price_3_tabs
0,Formation Juge-Arbitre Ligue Accrédité,437,08.12.2001,tournoi-badminton/formation-juge-arbitre-ligue-accredite-9587.html,43.5081,5.44538,250,,
1,le manslois Vl,800,17.11.2015,tournoi-badminton/le-manslois-vl-9544.html,45.8765,0.180265,13,18,
2,le manslois Vl,800,17.11.2015,tournoi-badminton/le-manslois-vl-9546.html,45.8765,0.180265,13,18,
3,AEFF ALPHABAD,2056,16.09.2016,tournoi-badminton/aeff-alphabad-9453.html,43598,6.78234,10,,
4,erreur,1645,16.09.2016,tournoi-badminton/erreur-7821.html,43.4111,6.05813,0,,
5,erreur,1730,01.10.2016,tournoi-badminton/erreur-9357.html,45.1514,1.50984,,,
6,"STAGE DE REPRISE "" DEBUT SEPTEMBRE 2017 "" à",1796,02.09.2017,tournoi-badminton/17-18-stage-de-reprise-debut-septembre-2017-a-7694.html,45774,4.80337,60,,
7,STAGE ADULTE REPRISE 2017,97,02.09.2017,tournoi-badminton/17-18-stage-adulte-reprise-2017-7691.html,44.7889,-0.58823,55,,
8,4ème tournoi jeune de L'Île d'Olonne,265,16.09.2017,tournoi-badminton/17-18-4eme-tournoi-jeune-de-l-le-d-olonne-7713.html,46.5662,-1.76832,8,13,
9, Formation Référent Equipement Sportif (RES),437,16.09.2017,tournoi-badminton/17-18-formation-referent-equipement-sportif-res-7822.html,43.4111,6.05813,,,
10, STAGE DE REPRISE à LYON,1796,16.09.2017,tournoi-badminton/17-18-stage-de-reprise-a-lyon-7440.html,45.7741,4.80378,60,,
11,2ème Racketlon d'Andrézieux Bouthéon,2179,16.09.2017,tournoi-badminton/17-18-2eme-racketlon-d-andrezieux-boutheon-7778.html,45.5292,4.2709,20,30,
12, Stage de Perfectionnement Adulte,1050,17.09.2017,tournoi-badminton/17-18-stage-de-perfectionnement-adulte-7816.html,45184,0.721115,15,,
13,TRJ 1 - Simple et Double,1288,23.09.2017,tournoi-badminton/17-18-trj-1-simple-et-double-7797.html,43.1395,5.84308,16,16,16
