Nom;Sigle;dep.;Ville;Joueurs;Age;Jeune;Sénior;Vétéran;  N  ;  R  ;  D  ;  P  ; NC ;Matchs;Points;Ecole
Zem'bad Le Montat;ZEMBAD;46;Le Montat;36;23.3;20;7;9;;;3;14;19;51;134.9;315
Yvetot Badminton Club;YBC;76;Yvetot;144;25.5;58;49;37;;9;16;35;84;62;3503.87;419
Xtrem Bad Poisy;XBP74;74;Poisy;111;26.2;48;22;41;;;13;30;68;128;689.95;340
Wolfi'Bad;WOLFI.BAD;67;Wolfisheim;32;25.2;18;4;10;;;8;10;14;13;222.17;155
Wasquehal Badminton Club;WBC;59;Wasquehal;120;15.2;106;6;8;;2;5;24;89;91;687.36;375
Woincourt Badminton Club;WBC;80;Woincourt;0;0.0;0;0;0;;;;;;0;0;0
Who's Bad Paris;WB;75;Paris;192;27.0;37;119;36;5;20;24;53;90;247;28860.6;0
Who's Bad - Le Badminton Galant;WB;971;Grand-Bourg;37;23.2;23;2;12;;;3;11;23;0;129.54;175
Volants Wormhoutois;VW;59;Wormhout;51;20.8;31;10;10;;;2;13;36;0;105.67;235
Les Volants de la Vallée de Munster;VVM;68;Munster;0;0.0;0;0;0;;;;;;0;0;0
Les Volants Du Vuache;VV74;74;Vulbens;68;27.8;26;14;28;;4;7;15;42;90;1193;0
Volants Vençois;VV06;06;Vence;9;20.4;6;0;3;;;;1;8;0;3.34;0
VALENCIENNES UNIVERSITÉ CLUB;VUC;59;Valenciennes;47;20.0;28;12;7;;2;6;3;36;21;1585.28;0
Les Volants Tranchais Omnisports Badminton;VTO;85;La Tranche-sur-Mer;8;38.5;2;2;4;;;;;8;0;0;0
Vga Stella Saint Maur;VSSM;94;Saint-Maur-des-Fossés;355;28.5;139;74;142;15;15;28;74;223;409;95851.8;869
Volant Saint Martin;VSM;31;Toulouse;59;33.0;3;29;27;;;1;19;39;5;113.63;0
Velo Sport Fertois;VSF;72;La Ferté-Bernard;129;27.0;59;23;47;;2;12;37;78;124;1017.09;415
Volant Stéphanois Badminton;VSB;82;Saint-Etienne-de-Tulmont;89;25.5;45;15;29;;1;14;32;42;60;738.33;0
Val De Sarthe Badminton;VSB;72;Noyen-sur-Sarthe;58;24.6;27;9;22;;;3;17;38;22;223.02;265
Villemomble Sports Badminton;VSB;93;Villemomble;157;31.2;54;30;73;;;3;39;115;7;158.78;195
Vaillante Sports Angers Badminton;VSABAD;49;Angers;132;25.9;39;68;25;;1;18;28;85;77;926.32;319
Volant Savenaisien;VS;44;Savenay;103;31.9;20;41;42;;;12;25;66;92;600.2;0
Le Volant Sammiellois;VS;55;Saint-Mihiel;12;38.2;0;4;8;;1;3;6;2;13;482.88;0
Les Volants de Sermaises;VS;45;Sermaises;79;21.2;50;7;22;;;1;31;47;35;106.44;200
Volant Cécilien;VS;84;Sainte-Cécile-les-Vignes;0;0.0;0;0;0;;;;;;0;0;0
Volant Radieux Pinsaguelois;VRP;31;Pinsaguel;37;42.9;0;10;27;;2;4;10;21;38;433.37;0
Volant Quingeois;VQ;25;Quingey;34;24.9;13;15;6;;1;8;6;19;48;651.9;0
Le Volant d'Oc Vauréen;VOV;81;Lavaur;107;29.4;36;24;47;;5;20;35;47;119;2307.88;317
Vaillante Omnisport  Saint Brice;VOSB;95;Saint-Brice-sous-Forêt;46;24.8;20;15;11;;;3;15;28;0;142.51;0
Volant Opale Club;VOC;62;Boulogne-sur-Mer;102;25.3;36;44;22;7;5;12;21;57;110;42159.4;255
Volants Non Identifies;VNI;14;Tilly-sur-Seulles;0;0.0;0;0;0;;;;;;0;0;0
Le Volant Masque Cloharsien;VMC;29;Clohars-Carnoët;7;55.6;0;0;7;;;1;4;2;0;77.99;0
Volant Montois;VM;85;Saint-Jean-de-Monts;61;30.5;23;5;33;;;16;17;28;95;749.26;277
Association Volant Libre Salisien;VLS;64;Salies-de-Béarn;26;20.9;19;1;6;;3;3;13;7;54;863.31;295
Volant Luisant;VL;28;Luisant;33;32.9;0;24;9;;;;8;25;0;59.06;0
Volontaires Janzéens Badminton;VJB35;35;Janzé;102;23.9;52;18;32;;;6;24;72;4;238.59;297
Volant Intrepide Saint Pierrin;VIP;31;Saint-Pierre-de-Lages;60;33.5;19;6;35;;1;6;8;45;5;392.04;0
Vie Locale et Animation Jeunesse Pays de Boussac;VILAJ;23;Boussac-Bourg;47;29.0;16;10;21;;;15;26;6;69;622.48;185
Le Volant De L'Isle;VI;33;Guîtres;28;24.2;15;2;11;;;;8;20;0;15.04;373
Le Volant Houdinois;VH;62;Houdain;68;25.4;28;21;19;;8;11;26;23;179;3184.92;281
Les Volants Guido-Fontains;VGF;28;Fontaine-la-Guyon;105;27.5;43;24;38;;2;13;48;42;54;971.65;0
Vienne Glane Badminton;VGB;87;Oradour-sur-Glane;93;35.1;5;37;51;;;10;33;50;129;490.7;0
Le Volant Fou Guipellois;VFG;35;Guipel;33;20.8;22;2;9;;;;8;25;0;12.23;95
Val d'Europe Badminton;VEBAD;77;Bailly-Romainvilliers;200;28.0;72;46;82;;17;27;30;126;121;11831.9;490
Volant Etrellais;VE;35;Étrelles;55;20.7;32;11;12;;;11;15;29;21;271.6;0
Volant Des Turlurons;VDT;63;Billom;76;29.6;30;11;35;;;3;40;33;19;236.57;0
les Volants Du Rhin;VDR;67;Drusenheim / Gambsheim;144;26.0;67;23;54;;3;28;23;90;73;1617.57;406
Volant de Pontgibaud;VDP;63;Pontgibaud;33;38.0;0;11;22;;;;18;15;0;53.81;0
Le Volant d'Oyeu;VDO38;38;Oyeu;0;0.0;0;0;0;;;;;;0;0;0
Les Volants de la Presquîle;VDLP;33;Ambès;0;0.0;0;0;0;;;;;;0;0;0
Les Volants du Kochersberg;VDK;67;Willgottheim;90;31.6;23;24;43;;1;16;20;53;32;977.57;120
Volant des Isles du Doubs;VDI;25;Appenans;58;28.3;23;8;27;;;7;26;25;5;384.82;185
Le Volant Des Domes;VDD;63;Clermont-Ferrand;193;26.4;59;84;50;18;21;30;38;86;449;96605.6;854
Les Volants de Bellefontaine;VDB;972;Bellefontaine;77;27.9;33;13;31;;;8;36;33;99;413.46;340
Le Volant des Alberes;VDA;66;Argelès-sur-Mer;103;29.9;45;11;47;;4;22;29;48;137;2561.57;359
Volant Club Toulousain;VCT;31;Toulouse;241;25.9;68;119;54;5;37;39;61;99;431;36463.7;471
Foyer Rural VC Lavernose-Lacasse;VCLL;31;Lavernose-Lacasse;77;19.8;55;6;16;;1;19;27;30;105;1031.52;484
Vic Comte Badminton;VCB63;63;Vic-le-Comte;143;30.4;49;22;72;;;16;50;77;150;843.49;283
Varennes Changy Badminton;VCB;45;Varennes-Changy;21;39.6;0;6;15;;;;;21;0;0;0
Vieux-Condé Badminton;VCB;59;Vieux-Condé;0;0.0;0;0;0;;;;;;0;0;150
Volant des Costières;VC30;30;Manduel;44;30.9;10;16;18;;7;6;5;26;56;2487.61;0
Very Bad Team;VBT;08;Sedan;13;35.7;0;3;10;;5;4;2;2;61;1896.08;0
Les Volants de la Bretagne Romantique;VBR;35;Pleugueneuc;0;0.0;0;0;0;;;;;;0;0;0
Vaujours Bad. Club Des Etoiles;VBCE;93;Vaujours;24;36.1;0;11;13;;;;6;18;0;26.73;0
Vincennes Badminton Club;VBC94;94;Vincennes;351;28.9;98;132;121;;11;26;51;263;163;7335.06;329
Versoud Badminton club;VBC38;38;Le Versoud;37;25.2;19;5;13;;1;2;8;26;14;364.43;215
Voland' Badminton Club;VBC;85;Landeronde;21;31.2;3;11;7;;;9;8;4;76;366.78;0
Varennes Badminton Club;VBC;03;Varennes-sur-Allier;32;27.0;14;4;14;;;8;13;11;0;349;0
Vimy Badminton Club;VBC;62;Vimy;78;23.9;43;11;24;;;7;14;57;38;286.24;185
Vimoutiers Badminton Club;VBC;61;Vimoutiers;42;24.7;16;14;12;;;3;19;20;42;130.82;0
Vivarais Badminton;VB07;07;Vals-les-Bains;74;23.1;35;22;17;;3;10;28;33;107;2951.9;445
Volant Bisontin;VB;25;Besançon;199;26.1;56;96;47;15;28;35;54;67;564;65284.1;465
Vitrolles Badminton;VB;13;Vitrolles;53;27.6;11;26;16;14;11;13;7;8;282;61538.2;410
Volant Basseen;VB;59;La Bassée;148;22.7;76;41;31;12;18;19;38;61;447;50907.9;666
Verneuil Badminton;VB;87;Verneuil-sur-Vienne;56;29.9;15;17;24;;3;13;17;23;16;1427.36;0
Versailles Badminton;VB;78;Versailles;76;29.6;19;31;26;;;5;22;49;4;210.25;125
Le Volant Arnouville Gonesse;VAG;95;Arnouville;48;27.7;18;13;17;;5;10;13;20;86;3035.39;226
Vallée de l'Avre Badminton Club;VABC;28;Saint-Rémy-sur-Avre;81;27.6;37;9;35;;2;6;34;39;34;871.86;255
Vitry Badminton Club;VABC;62;Vitry-en-Artois;66;25.4;30;13;23;;;2;29;35;27;151.66;258
Val D'ambene Badminton;VAB;63;Volvic;52;33.1;15;6;31;;;2;17;33;30;185.78;0
Volant des 7 Rivières;V7R;84;Bédarrides;61;19.7;40;10;11;;2;2;21;36;85;529.26;0
V3F - Volant des 3 Frontières;V3F;68;Attenschwiller, Hésingue, Villag;347;24.6;186;56;105;14;29;57;58;189;455;87401.3;828
Volants 3000;V3000;49;CHAVAGNES;35;41.1;1;10;24;;;4;15;16;0;298.04;0
Volants Velizy-villacoublay;V3;78;Vélizy-Villacoublay;137;32.1;25;52;60;;2;10;38;87;15;1150.03;220
Le Volant des 2 Caps;V2C;62;Marquise;66;26.6;27;16;23;;1;8;24;33;12;774.91;185
U. Sportive Vaires Entretien Compétition Badminton;USVECBAD;77;Vaires-sur-Marne;48;23.4;24;14;10;;1;1;15;31;13;747.65;0
Union Sport. Villaines La Juhel;USVBAD;53;Villaines-la-Juhel;19;32.5;4;5;10;;;3;8;8;24;134.34;160
Vitreenne Badminton;USVB;35;Vitré;73;29.9;23;22;28;;4;9;19;41;3;1500.58;247
Union Sport. Ville D'avray;USVA;92;Ville-d'Avray;0;0.0;0;0;0;;;;;;0;0;0
Union Sportive Villejuif;USV;94;Villejuif;129;27.1;37;60;32;;16;17;28;68;53;8675.62;185
Union Sportive Vernoise Badminton;USV;35;Vern-sur-Seiche;179;27.3;69;47;63;;16;21;56;86;20;8180.07;383
Union Sportive Verton;USV;62;Verton;0;0.0;0;0;0;;;;;;0;0;0
Us Tinteniac-saint Domineuc;USTSD;35;Tinténiac;73;19.1;53;9;11;;;;18;55;3;119.75;0
Union Sportive Tournebride Hayange;USTH;57;Hayange;83;22.5;50;10;23;;;10;24;49;35;287.97;260
U. S. Tyrosse Badminton;USTBAD;40;Saint-Vincent-de-Tyrosse;67;28.8;30;10;27;;;3;12;52;10;81.06;0
Union Sportive Talence Badminton;UST;33;Talence;328;26.7;82;164;82;28;57;56;59;128;945;258613;722
Union Sportive Tropezienne Bad;UST;83;Saint-Tropez;29;40.7;3;8;18;;;7;7;15;10;478.03;0
Union Sportive Saint Jacques;USSJ;76;Saint-Jacques-sur-Darnétal;56;30.4;23;6;27;;;5;17;34;0;168.97;0
Union Saint Genestoise de Badminton;USSGBAD73;73;Saint-Genix-sur-Guiers;62;34.4;9;21;32;;;3;25;34;0;259.96;0
Union Sportve de Saint GILLES - Les Accrobads;USSGBAD;35;Saint-Gilles;23;34.1;0;11;12;;;1;19;3;0;212.84;0
Union Sportive St Ciers;USSC.BAD;33;Saint-Ciers-sur-Gironde;34;22.7;18;9;7;;1;3;10;20;6;1090.14;220
Union Sportive Saint Arnoult;USSA;78;Saint-Arnoult-en-Yvelines;89;28.3;33;29;27;;11;8;28;42;18;5225.51;0
Ussa14 Badminton St Andre;USSA;14;Saint-André-sur-Orne;89;26.3;35;27;27;;9;14;20;46;43;2978.71;305
U.S. Ramonville Badminton;USRB;31;Ramonville-Saint-Agne;131;24.0;38;73;20;18;23;16;38;36;391;83591.9;432
Union Sportive Le Poinçonnet;USPBA;36;Le Poinçonnet;29;34.6;7;4;18;;;6;9;14;6;265.21;230
Union Sportive De Palaiseau;USP;91;Palaiseau;208;27.3;79;55;74;1;19;21;30;137;99;11305.9;445
Union Sportive Du Pre En Pail;USP;53;Pré-en-Pail;10;36.9;1;3;6;;1;5;3;1;42;1205.89;0
Union Sportive Petruvienne;USP;14;Saint-Pierre-sur-Dives;92;30.2;33;22;37;;3;11;23;55;91;1064.01;216
Union Sport. Pecq;USP;78;Le Pecq;65;34.1;13;17;35;;;11;10;44;74;463.18;0
USOPOC BADMINTON;USOPOC;45;FLEURY LES AUBRAIS/ORLEANS;75;31.2;22;20;33;;;1;16;58;0;67.51;0
U. Sportive De L'ouest Lyonnais;USOLB69;69;Vaugneray;100;25.8;57;9;34;;;6;27;67;69;395.65;360
Union Sportive Oyonnax Badminton;USO01;01;Oyonnax;75;23.3;39;19;17;;5;5;30;35;30;1690.27;207
Union Sportive Nord Gironde;USNG;33;Saint-Yzan-de-Soudiac;41;29.0;17;5;19;;;3;14;24;4;153.93;0
Union Sport. Mun. Villeparisis;USMV;77;Villeparisis;130;27.2;46;44;40;2;16;17;32;63;142;17008.5;330
U S M Vire Badminton;USMV;14;Vire;97;25.0;51;18;28;;3;9;39;46;112;1258.28;380
Union Sportive Mpale De Saran;USMS;45;Saran;59;27.0;16;28;15;;7;7;15;30;66;4576.49;135
Union Sportive Municipale de Montargis;USMM;45;Montargis;68;24.2;27;27;14;1;9;12;19;27;126;10288.9;165
Union Sport. Munic. Malakoff;USMM;92;Malakoff;144;32.6;19;68;57;;1;3;19;121;0;484.12;0
Union Sportive Municipale de Chanteau Badminton;USMCBAD;45;Chanteau;20;45.2;0;2;18;;;6;13;1;0;386.48;0
Union Sportive Municipale des Clayes sous Bois;USMC;78;Les Clayes-sous-Bois;112;33.6;22;27;63;;;2;24;86;6;108.6;0
U. S. Monsoult-baillet-maffliers;USMBM;95;Montsoult;72;37.0;14;18;40;;;2;18;52;0;142.11;0
Union Sportive Mortagnaise Badminton;USMBAD;61;Mortagne-au-Perche;5;27.8;0;4;1;;;2;2;1;0;64.87;0
Union Sportive Montanay Bad.;USMB69;69;Montanay;103;34.3;26;21;56;;;4;40;59;9;277.02;200
Union Sportive Maubeugeoise Badminton;USMB;59;Maubeuge;69;27.7;24;25;20;1;5;5;11;47;46;6155.74;0
USMA Badminton;USMA.BAD;93;Saint-Ouen;113;25.4;38;54;21;;;3;25;85;12;148.96;100
Us Mordelles Badminton;USM;35;Mordelles;87;24.9;45;16;26;;2;13;25;47;3;906.53;0
