Question,1,2,3,4,5,N
Question 1,0,17,26,57,0,100
Question 2,0,8,20,72,0,100
Question 3,0,11,32,57,0,100
Question 4,0,5,12,83,0,100
Question 5,0,3,12,85,0,100
Question 6,0,13,22,65,0,100
Question 7,0,6,17,77,0,100
Question 8,0,4,10,86,0,100
Question 9,0,1,17,82,0,100
Question 10,0,8,15,77,0,100
Question 11,0,25,50,25,0,100
Question 12,0,13,53,34,0,100
Question 13,0,3,12,85,0,100
Question 14,0,13,22,65,0,100
Question 15,0,6,17,77,0,100
Question 16,0,4,10,86,0,100
Question 17,0,1,17,82,0,100
Question 18,0,8,15,77,0,100
Question 19,0,25,50,25,0,100
Question 20,0,13,53,34,0,100
